x,y,label
-136.268845,-48.458176,3.000000
-159.515533,-37.351212,3.000000
-119.463623,-12.453460,3.000000
-97.348129,0.255800,3.000000
-48.999554,-75.638847,1.000000
-138.475754,31.092289,3.000000
-51.182175,10.743138,3.000000
-115.761185,-8.887980,3.000000
-101.761772,-16.865005,3.000000
-52.583172,16.686106,3.000000
-102.304977,-7.448960,3.000000
-108.159714,-15.259892,3.000000
-101.722466,-16.956249,3.000000
-107.356987,-4.439688,3.000000
-31.450256,-71.858116,1.000000
-63.752197,37.836716,2.000000
-94.436935,9.622540,3.000000
-25.329191,-74.877045,1.000000
-31.473207,-71.766014,1.000000
-9.186098,-49.268864,1.000000
-95.470940,18.852547,3.000000
-5.868976,-45.955067,1.000000
-60.164948,34.611824,2.000000
-46.715527,23.720600,2.000000
-63.120720,37.253956,2.000000
-45.811939,25.536453,2.000000
-43.411388,25.937235,2.000000
-25.316315,-74.170235,1.000000
-63.401043,37.512909,2.000000
-43.068253,26.177059,2.000000
-25.403204,-74.896645,1.000000
-31.307238,-72.324135,1.000000
-60.483845,34.860680,2.000000
-46.725830,24.159241,2.000000
-43.437187,26.090403,2.000000
10.037245,-63.187061,1.000000
-25.307432,-74.159042,1.000000
-43.411282,25.974977,2.000000
-43.558868,25.949238,2.000000
-60.780724,35.097836,2.000000
-44.822983,26.962719,2.000000
-43.917740,23.151951,2.000000
-59.891956,34.401203,2.000000
-46.860531,21.577204,3.000000
-127.134193,-11.343241,3.000000
-47.489735,-101.423416,1.000000
-13.549500,-132.324295,1.000000
-21.162683,-130.845520,1.000000
-21.435949,-142.987473,1.000000
-17.912649,-138.584076,1.000000
-96.665398,-7.597284,3.000000
-97.563507,-7.231813,3.000000
1.194875,-51.872028,1.000000
1.120449,-51.493816,1.000000
1.258784,-53.455051,1.000000
-1.213044,-54.024605,1.000000
1.258784,-53.455051,1.000000
1.258784,-53.455051,1.000000
1.259048,-53.454914,1.000000
1.120449,-51.493816,1.000000
-2.159227,-54.918995,1.000000
-1.188046,-54.017231,1.000000
1.258784,-53.455051,1.000000
1.120449,-51.493816,1.000000
-50.905205,151.421799,2.000000
-73.906059,134.429611,2.000000
12.449569,-83.384132,1.000000
-89.437935,81.571030,2.000000
-45.678322,92.311264,2.000000
-43.043468,95.591881,2.000000
-45.678322,92.311264,2.000000
-55.406956,96.485695,2.000000
-55.406956,96.485695,2.000000
-42.600628,97.863434,2.000000
-55.784122,96.608650,2.000000
-55.780937,96.605133,2.000000
-55.182442,96.519310,2.000000
-63.396965,91.187859,2.000000
47.565231,-31.855150,4.000000
-47.330902,84.401291,2.000000
50.259113,-34.986351,4.000000
-79.326958,116.708244,2.000000
12.333866,-83.385445,1.000000
-79.326958,116.708244,2.000000
-42.600723,97.862320,2.000000
-42.741566,97.356667,2.000000
-54.078350,95.382561,2.000000
-54.078350,95.382561,2.000000
-54.080223,95.378159,2.000000
-79.326958,116.708244,2.000000
-79.326958,116.708244,2.000000
-79.326958,116.708244,2.000000
-79.326958,116.708244,2.000000
-79.326958,116.708244,2.000000
-79.326958,116.708244,2.000000
-79.326286,116.706909,2.000000
-79.326958,116.708244,2.000000
-79.326286,116.706909,2.000000
-79.326286,116.706909,2.000000
-79.326958,116.708244,2.000000
-79.326286,116.706909,2.000000
-47.321873,84.550888,2.000000
47.571568,-31.868584,4.000000
43.237984,-29.380859,4.000000
-79.191757,114.183617,2.000000
-79.097038,111.764656,2.000000
-79.097038,111.764656,2.000000
-79.100922,111.296036,2.000000
-85.162514,107.694023,2.000000
-54.719757,96.033073,2.000000
-54.719757,96.033073,2.000000
-55.406956,96.485695,2.000000
-55.406956,96.485695,2.000000
-55.406956,96.485695,2.000000
-54.719757,96.033073,2.000000
-54.719757,96.033073,2.000000
-54.080357,95.376465,2.000000
-79.308716,108.577072,2.000000
-45.390862,92.561447,2.000000
-45.390762,92.562935,2.000000
-45.390682,92.558151,2.000000
-45.389908,92.563286,2.000000
-45.677784,92.311249,2.000000
-45.390762,92.562935,2.000000
-45.677784,92.311249,2.000000
-53.641438,94.780655,2.000000
-53.641438,94.780655,2.000000
-53.641438,94.780655,2.000000
-56.786724,96.847641,2.000000
-79.117981,110.850189,2.000000
-43.574688,95.818039,2.000000
-43.574688,95.818039,2.000000
-43.574642,95.808983,2.000000
-43.574688,95.818039,2.000000
-43.849308,95.146645,2.000000
-79.326958,116.708244,2.000000
-50.905205,151.421799,2.000000
-74.799202,131.313583,2.000000
-79.326286,116.706909,2.000000
-79.326958,116.708244,2.000000
-79.326958,116.708244,2.000000
-79.326958,116.708244,2.000000
-53.641590,94.779343,2.000000
-54.080223,95.378159,2.000000
-54.080223,95.378159,2.000000
-54.080357,95.376465,2.000000
31.022039,80.725327,0.000000
29.228470,78.975304,0.000000
31.255346,68.281654,0.000000
29.148468,79.361023,0.000000
30.902943,80.724274,0.000000
29.121008,79.434807,0.000000
30.424164,80.757141,0.000000
30.428991,81.070633,0.000000
-52.248928,18.074163,3.000000
-52.248928,18.074163,3.000000
-52.027271,-105.569359,1.000000
-10.626486,-69.934792,1.000000
-109.035500,-21.536959,3.000000
-46.963554,-102.467880,1.000000
-16.786943,-138.744080,1.000000
-164.244324,-20.515993,3.000000
-108.509964,129.571136,2.000000
-96.273880,84.812981,2.000000
-96.273880,84.812981,2.000000
-141.534348,24.835461,3.000000
-50.619331,81.299858,2.000000
-46.740742,-102.928009,1.000000
-12.361799,-131.549515,1.000000
-20.791121,-129.449692,1.000000
-21.219622,-144.469193,1.000000
-16.316549,-138.856506,1.000000
-82.937790,137.253387,2.000000
-91.915627,142.796021,2.000000
-89.616692,129.148407,2.000000
-89.616692,129.148407,2.000000
-50.572975,81.186455,2.000000
-45.323723,-106.274590,1.000000
-9.091850,-129.914902,1.000000
-18.677368,-126.396164,1.000000
-19.176426,-148.021271,1.000000
