t-SNE 1,t-SNE 2,index,Labels
-46.89131,-102.61613,209,1
-16.637392,-138.77545,210,1
-46.821136,-102.76531,211,1
-12.49399,-131.62712,212,1
-20.84695,-129.5935,213,1
-21.260414,-144.32497,214,1
-16.479273,-138.81287,215,1
-149.97308,-8.352968,216,3
-102.34242,-7.624307,217,3
-49.499763,16.346577,218,3
9.069475,55.737686,219,0
-40.727783,-112.92558,220,1
-0.07519944,-128.40588,221,1
-10.748219,-121.73189,222,1
-7.469299,-150.78592,223,1
-3.4607058,-139.12581,224,1
-164.24432,-20.515993,225,3
-50.29108,12.066753,226,3
-8.921008,-57.17536,227,1
33.4058,-95.833496,228,1
34.775154,-95.72159,229,1
33.699898,-95.81857,230,1
33.92075,-95.7888,231,1
-3.0357726,71.158165,232,2
-3.0357726,71.158165,233,2
-3.0357726,71.158165,234,2
-3.0357726,71.158165,235,2
-48.914185,-103.540794,236,1
-3.0357726,71.158165,237,2
-3.0357726,71.158165,238,2
-8.774337,-55.74997,239,1
-47.135483,-102.11382,240,1
-47.810444,-100.26315,241,1
-14.568703,-133.22719,242,1
-21.210611,-132.05849,243,1
-19.83451,-138.95682,244,1
-19.788017,-138.89838,245,1
-97.53969,0.40932232,246,3
-49.183407,-75.36773,247,1
-107.87516,-3.9696794,248,3
-129.61661,-26.229712,249,3
-52.48194,-107.70615,250,1
-47.596233,-101.10746,251,1
-13.755174,-132.47453,252,1
-21.211771,-131.11092,253,1
-21.435709,-142.71367,254,1
-18.239649,-138.57785,255,1
-47.596233,-101.10746,256,1
-13.755174,-132.47453,257,1
-21.211771,-131.11092,258,1
-21.435797,-142.71184,259,1
-18.239649,-138.57785,260,1
-46.035557,-104.35104,261,1
-11.0654955,-130.85652,262,1
-20.04238,-128.17393,263,1
-20.579601,-145.9156,264,1
-14.783023,-139.40242,265,1
-45.659428,-105.22423,266,1
-45.252575,-106.8842,267,1
-8.517839,-129.73125,268,1
-18.242693,-125.94892,269,1
-18.675596,-148.38573,270,1
-12.057155,-140.36372,271,1
-7.823303,-50.738083,272,1
-42.105915,-112.76353,273,1
-47.963936,-100.2458,274,1
-21.202751,-132.17326,275,1
-19.86665,-138.73645,276,1
5.763918,-43.1856,277,1
-2.7859669,-93.106255,278,1
-2.581155,-92.412575,279,1
-102.8942,3.825073,280,3
-50.373745,-73.462296,281,1
7.876621,-43.828724,282,1
-104.52775,-7.015311,283,3
-113.52604,8.556175,284,3
-142.76295,10.167534,285,3
-39.99807,-109.56654,286,1
-97.80414,0.60940546,287,3
-49.351097,-75.13803,288,1
-43.185146,-112.45313,289,1
-136.16687,23.833632,290,3
-40.727783,-112.92558,291,1
-0.07519945,-128.40588,292,1
-10.748219,-121.73189,293,1
-7.469299,-150.78592,294,1
-3.4606059,-139.12587,295,1
-118.87715,-48.474285,296,3
-45.657356,-105.21565,297,1
-10.115411,-130.38979,298,1
-19.414574,-127.312386,299,1
-19.96035,-146.92828,300,1
-13.770867,-139.8106,301,1
-46.647884,-103.11064,302,1
-12.213687,-131.46307,303,1
-20.719894,-129.29475,304,1
-21.167477,-144.64378,305,1
-16.127544,-138.91142,306,1
-52.194443,-106.20742,307,1
-95.88748,-3.6995828,308,3
-48.593613,-76.262505,309,1
-94.483215,-4.3428082,310,3
-48.048286,-77.33311,311,1
-107.358765,-4.5000863,312,3
-122.406746,22.705355,313,3
5.769082,-43.244873,314,1
-2.816118,-93.04836,315,1
-2.6423454,-92.45087,316,1
-42.947475,-112.58478,317,1
-2.4425914,-128.56227,318,1
-12.902737,-122.39645,319,1
-12.41779,-151.06693,320,1
-5.58287,-140.19157,321,1
43.311897,-37.963184,322,4
-99.86494,-7.3151784,323,3
-51.841007,93.593994,324,2
-51.841442,93.59336,325,2
-51.840424,93.594025,326,2
-51.841442,93.59336,327,2
-51.840775,93.59294,328,2
-51.84091,93.594246,329,2
-51.84015,93.59416,330,2
-51.841442,93.59336,331,2
-51.839108,93.58731,332,2
-51.84015,93.59416,333,2
-51.841442,93.59336,334,2
-51.840424,93.594025,335,2
-51.840775,93.59294,336,2
-51.840614,93.593925,337,2
-51.841007,93.593994,338,2
-51.840614,93.593925,339,2
-51.840775,93.59294,340,2
-51.840897,93.59422,341,2
-51.841007,93.593994,342,2
-51.841442,93.59336,343,2
-51.841007,93.593994,344,2
-51.840775,93.59294,345,2
-51.841442,93.59336,346,2
-51.841007,93.593994,347,2
-51.841442,93.59336,348,2
-50.61145,93.16192,349,2
-52.548706,94.75938,350,2
-53.759827,96.02703,351,2
-53.75709,96.02685,352,2
-53.757942,96.0267,353,2
-53.759827,96.02703,354,2
-53.758904,96.027336,355,2
-79.11798,110.85019,356,2
-63.398636,91.18619,357,2
-63.398323,91.187706,358,2
-63.398636,91.18619,359,2
-53.759827,96.02703,360,2
-53.757942,96.0267,361,2
-53.759655,96.02701,362,2
-68.62616,155.46112,363,2
-68.62616,155.46112,364,2
-68.62616,155.46112,365,2
-68.62616,155.46112,366,2
-68.62616,155.46112,367,2
-68.62616,155.46112,368,2
-68.62616,155.46112,369,2
-68.62616,155.46112,370,2
-68.62616,155.46112,371,2
-68.62616,155.46112,372,2
-68.62616,155.46112,373,2
-68.62616,155.46112,374,2
-68.62616,155.46112,375,2
-89.61669,129.1484,376,2
-75.81782,128.82713,377,2
-75.81782,128.82713,378,2
14.054932,-83.39161,379,1
-75.81782,128.82713,380,2
-68.62616,155.46112,381,2
-75.81548,128.82913,382,2
-46.408535,93.43714,383,2
22.335947,-70.02021,384,1
40.946262,-43.970783,385,4
40.876205,-44.045364,386,4
40.91487,-43.992924,387,4
40.899235,-44.005386,388,4
-79.19176,114.18362,389,2
-80.55806,148.16428,390,2
-80.55806,148.16428,391,2
-80.55806,148.16428,392,2
-80.55806,148.16428,393,2
-80.55806,148.16428,394,2
-80.55806,148.16428,395,2
-80.55806,148.16428,396,2
-80.55806,148.16428,397,2
-80.55806,148.16428,398,2
-80.55806,148.16428,399,2
-80.55806,148.16428,400,2
-80.55806,148.16428,401,2
-80.55806,148.16428,402,2
-80.55806,148.16428,403,2
-80.55806,148.16428,404,2
-48.859093,98.70955,405,2
-48.859093,98.70955,406,2
-89.54302,116.19814,407,2
-89.54302,116.19814,408,2
-79.32696,116.708244,409,2
-79.32696,116.708244,410,2
-78.573845,126.37348,411,2
-89.54302,116.19814,412,2
-78.573845,126.37348,413,2
-78.573845,126.37348,414,2
-78.573845,126.37348,415,2
-78.573395,126.37487,416,2
-78.573845,126.37348,417,2
-78.573395,126.37487,418,2
-78.573845,126.37348,419,2
-78.573845,126.37348,420,2
-78.573845,126.37348,421,2
-89.54302,116.19814,422,2
-78.573395,126.37487,423,2
-78.573845,126.37348,424,2
-78.573845,126.37348,425,2
-78.573395,126.37487,426,2
-78.573395,126.37487,427,2
-78.573395,126.37487,428,2
-78.573395,126.37487,429,2
-78.573845,126.37348,430,2
-78.573395,126.37487,431,2
-78.573395,126.37487,432,2
-78.573395,126.37487,433,2
-78.573395,126.37487,434,2
-78.573395,126.37487,435,2
-78.573395,126.37487,436,2
-78.573395,126.37487,437,2
-78.573845,126.37348,438,2
-78.573845,126.37348,439,2
-78.573845,126.37348,440,2
-78.573845,126.37348,441,2
-78.573845,126.37348,442,2
-78.573845,126.37348,443,2
-78.573845,126.37348,444,2
-78.573395,126.37487,445,2
-78.573845,126.37348,446,2
-78.573845,126.37348,447,2
-78.573395,126.37487,448,2
-75.81548,128.82913,449,2
-80.130005,121.605225,450,2
-80.130005,121.605225,451,2
-80.130005,121.605225,452,2
-79.32696,116.708244,453,2
-79.32696,116.708244,454,2
-79.19176,114.18362,455,2
-79.19176,114.18362,456,2
-79.19176,114.18362,457,2
-79.19176,114.18362,458,2
-79.19176,114.18362,459,2
-89.54302,116.19814,460,2
-79.19176,114.18362,461,2
-79.19176,114.18362,462,2
-79.308716,108.57707,463,2
-79.308716,108.57707,464,2
-79.308716,108.57707,465,2
-79.308556,108.57515,466,2
-79.308556,108.57515,467,2
-89.15612,112.962975,468,2
-89.54302,116.19814,469,2
-58.826214,93.66532,470,2
-79.19176,114.18362,471,2
-43.212677,95.158134,472,2
-58.41542,90.79738,473,2
-85.16171,107.69417,474,2
-87.45133,109.810974,475,2
-85.16173,107.694145,476,2
-107.2966,118.15768,477,2
-107.2966,118.15768,478,2
-45.677845,92.31022,479,2
-41.82504,99.6986,480,2
-42.850433,96.513176,481,2
-43.04347,95.59188,482,2
-43.042507,95.59216,483,2
-43.212517,95.15745,484,2
-43.212982,95.15805,485,2
-43.212837,95.15783,486,2
-43.21294,95.15817,487,2
-75.81548,128.82913,488,2
-78.573845,126.37348,489,2
-43.04347,95.59188,490,2
-43.212692,95.15765,491,2
-43.212784,95.15793,492,2
-74.7992,131.31358,493,2
-50.905205,151.4218,494,2
-79.32629,116.70691,495,2
-43.929195,95.12854,496,2
-42.458202,98.491,497,2
-42.916424,97.54501,498,2
-43.088013,97.21012,499,2
-57.318283,84.967545,500,2
-57.318283,84.967545,501,2
-57.318283,84.967545,502,2
-57.318356,84.967705,503,2
-57.318356,84.967705,504,2
-57.318546,84.96798,505,2
-57.318314,84.96752,506,2
-57.318356,84.967705,507,2
-57.318325,84.96786,508,2
-57.318314,84.96752,509,2
-57.318256,84.96823,510,2
-57.318546,84.96772,511,2
-57.318546,84.96798,512,2
-123.37396,-4.736839,513,3
-123.31055,-4.727406,514,3
-111.25891,-33.97935,515,3
-119.73509,-23.074173,516,3
-127.06939,-4.626261,517,3
-127.284004,-4.53469,518,3
-123.37396,-4.736839,519,3
-123.31055,-4.727406,520,3
-62.137383,7.616548,521,3
-113.883804,-30.685438,522,3
-116.36532,-28.061262,523,3
-116.99966,-27.31765,524,3
-117.464226,-26.708532,525,3
-119.56368,-23.857458,526,3
-120.64894,-21.983541,527,3
-120.914925,-21.564983,528,3
-121.07539,-21.237934,529,3
-121.09576,-20.99317,530,3
-121.140495,-20.871103,531,3
-108.19085,-40.806778,532,3
-119.38075,-2.7743762,533,3
-58.68674,39.40153,534,2
-117.09664,-27.071846,535,3
-128.2314,-3.9985645,536,3
-117.09664,-27.071846,537,3
51.13716,44.64113,538,0
-119.38079,-2.7743292,539,3
-108.35648,-36.36438,540,3
-117.64839,-26.45045,541,3
-119.3555,-24.20541,542,3
-119.357315,-24.20646,543,3
-121.367874,-27.223555,544,3
-122.09553,-19.049398,545,3
-122.119316,-18.992,546,3
-122.119316,-18.992,547,3
-122.249115,-18.693121,548,3
-122.31676,-18.53331,549,3
-122.46335,-18.188314,550,3
-121.315796,-27.247988,551,3
-48.54968,33.735985,552,2
-96.82169,11.881295,553,3
-38.38468,-73.05766,554,1
-38.139496,-72.520676,555,1
-38.333954,-72.969536,556,1
-38.288216,-72.878716,557,1
-66.78759,-114.58677,558,1
-58.58621,-102.25854,559,1
-30.921509,-73.47418,560,1
-25.732452,-75.560684,561,1
47.513042,-99.88838,562,1
47.48097,-99.92125,563,1
47.50388,-99.898705,564,1
47.498043,-99.901726,565,1
54.02875,-61.176586,566,4
54.041245,-61.17681,567,4
-58.844013,-102.85776,568,1
-20.414202,33.63976,569,2
-66.76743,-114.58652,570,1
-14.016082,-74.03964,571,1
-13.684466,-72.70675,572,1
-41.4887,26.125238,573,2
54.035732,-61.17614,574,4
-13.768003,-72.8941,575,1
-13.796641,-72.99976,576,1
-20.965397,33.525696,577,2
-63.401215,37.512558,578,2
-14.001773,-74.06483,579,1
-14.055956,-73.97482,580,1
-66.92704,-114.58427,581,1
-58.96613,-103.18635,582,1
-59.24581,-101.184326,583,1
8.576854,-109.41295,584,1
6.745536,-111.373245,585,1
8.022633,-109.640564,586,1
7.7843156,-109.81537,587,1
-30.862497,-73.65652,588,1
-97.23436,19.05694,589,3
-98.82593,18.950188,590,3
-59.23129,-103.671135,591,1
-94.968414,7.241544,592,3
-66.83481,-114.58708,593,1
-25.322355,-74.78025,594,1
-30.854279,-73.682625,595,1
-30.88597,-73.584564,596,1
-26.368902,-75.69806,597,1
-30.880745,-73.599754,598,1
-13.697919,-72.77423,599,1
31.106909,-110.03182,600,1
31.092558,-109.996315,601,1
31.102253,-110.01845,602,1
31.099707,-110.01385,603,1
-66.78759,-114.58677,604,1
-13.994487,-74.07933,605,1
-25.325397,-75.001305,606,1
9.927428,-63.245136,607,1
-58.1111,-100.98904,608,1
-31.50981,-71.602135,609,1
-30.86761,-73.63801,610,1
-100.700356,18.521778,611,3
-96.79126,10.77512,612,3
-13.709333,-72.69889,613,1
-30.873632,-73.627,614,1
-30.943739,-73.41056,615,1
-58.34397,-101.816376,616,1
-58.430477,-101.97991,617,1
53.681953,-61.073143,618,4
54.061195,-61.180164,619,4
53.62327,-61.056896,620,4
59.342056,-96.74977,621,4
59.356876,-96.7507,622,4
59.34117,-96.74997,623,4
59.34182,-96.7517,624,4
-99.890335,12.429624,625,3
46.913,-38.661434,626,4
38.44265,-29.30048,627,4
53.6181,-61.056637,628,4
59.343124,-96.748886,629,4
59.362793,-96.74969,630,4
59.3424,-96.74926,631,4
59.345222,-96.74199,632,4
-93.946495,5.48992,633,3
-94.16971,5.972394,634,3
8.498235,45.14892,635,0
-31.4659,-71.795334,636,1
54.05115,-61.180046,637,4
-30.921715,-73.47423,638,1
-14.032485,-74.00984,639,1
-13.70579,-72.687004,640,1
-31.003523,-73.23073,641,1
-25.308268,-75.0545,642,1
-25.310078,-74.835045,643,1
-13.668423,-72.43561,644,1
42.92401,-33.25955,645,4
-13.69093,-72.68502,646,1
-46.508858,24.627008,647,2
-25.296791,-75.51446,648,1
-20.417154,33.634377,649,2
-14.004065,-74.0609,650,1
53.614426,-61.05657,651,4
59.35129,-96.750404,652,4
59.36809,-96.7497,653,4
59.350277,-96.74981,654,4
59.34847,-96.749985,655,4
-13.733947,-72.735794,656,1
31.108343,-110.04428,657,1
-59.152832,-102.84735,658,1
53.568684,-61.049984,659,4
-102.85819,-7.439703,660,3
-14.031041,-74.01385,661,1
-21.575079,36.651463,662,2
-63.8577,37.932682,663,2
-63.957302,38.025528,664,2
-26.24107,-75.63265,665,1
47.47897,-99.951164,666,1
47.489677,-99.93711,667,1
11.259336,45.78038,668,0
-20.472412,32.823864,669,2
47.236507,-38.039085,670,4
38.494392,-28.751394,671,4
-20.465307,32.83193,672,2
47.22732,-38.04135,673,4
38.494907,-28.75328,674,4
-20.265287,33.679943,675,2
8.465748,45.3211,676,0
-20.569494,33.593456,677,2
-21.81376,33.39289,678,2
8.458354,45.39586,679,0
10.961742,-61.30944,680,1
-95.37954,8.115177,681,3
-31.440645,-71.89508,682,1
8.462789,45.32108,683,0
10.961206,-61.310028,684,1
53.57494,-61.04973,685,4
-25.313574,-74.47667,686,1
8.465752,45.303493,687,0
-13.994487,-74.07933,688,1
54.121048,-61.192116,689,4
-21.74127,36.727425,690,2
53.554146,-61.047592,691,4
53.56067,-61.04789,692,4
-25.31375,-74.47251,693,1
-21.129232,33.49111,694,2
-13.678835,-72.67346,695,1
-45.689625,25.365902,696,2
-31.44143,-71.89545,697,1
-13.994487,-74.07933,698,1
-13.994487,-74.07933,699,1
-21.733065,36.723965,700,2
11.31755,45.75402,701,0
-21.733065,36.723965,702,2
-21.129448,33.49659,703,2
-64.90488,-114.65451,704,1
8.465748,45.3211,705,0
11.31755,45.75402,706,0
-25.299952,-74.43997,707,1
10.9765,-61.259895,708,1
8.467424,45.322544,709,0
53.562233,-61.048267,710,4
-21.733065,36.723965,711,2
8.465748,45.3211,712,0
-45.699394,25.391775,713,2
53.563236,-61.050484,714,4
-21.129921,33.491,715,2
8.4556055,45.326206,716,0
10.961742,-61.30944,717,1
8.439156,45.546944,718,0
-21.561007,36.643772,719,2
-21.00503,33.51704,720,2
-20.57136,33.59879,721,2
-20.57136,33.59879,722,2
-98.581215,12.372892,723,3
-100.084656,13.099843,724,3
-20.543985,33.598648,725,2
-20.383463,33.6435,726,2
-20.660278,33.581013,727,2
4.298714,-52.438457,728,1
11.149222,45.825848,729,0
-21.57066,36.648716,730,2
-21.552544,36.6389,731,2
-95.28571,7.997697,732,3
-10.595392,-46.983177,733,1
-20.599205,33.593388,734,2
-21.639973,36.68033,735,2
-20.628817,33.586197,736,2
8.446476,45.46947,737,0
-21.175846,33.488926,738,2
8.439156,45.546944,739,0
8.470249,45.522243,740,0
-30.870174,-73.636246,741,1
-31.479809,-71.73782,742,1
-66.72148,-114.58805,743,1
97.6331,86.70062,744,0
-99.355,13.021156,745,3
-15.221391,-78.53738,746,1
-52.423256,-125.116005,747,1
-52.55096,-125.03542,748,1
29.76149,-80.50915,749,1
66.97317,-136.94447,750,1
68.3363,-138.55197,751,1
67.38838,-137.47038,752,1
67.60784,-137.73767,753,1
-52.4617,-125.09041,754,1
-52.43664,-125.10758,755,1
-150.05902,-8.113979,756,3
-92.445656,82.95526,757,2
-4.2534995,-41.61025,758,1
-119.82613,31.118788,759,3
-99.96901,-7.3450274,760,3
-39.450558,-109.93314,761,1
-8.876371,-121.38163,762,1
-38.536694,-112.89064,763,1
1.7394812,-128.38159,764,1
-8.816419,-121.332466,765,1
-5.672801,-150.55725,766,1
-1.659565,-138.35538,767,1
-7.4989214,-48.27752,768,1
-141.58745,34.8102,769,3
-106.34877,-17.584671,770,3
-136.8664,14.940926,771,3
-7.686245,-37.437454,772,1
-7.8740077,-48.466015,773,1
30.911188,-82.1376,774,1
-43.517296,-99.306656,775,1
-49.71573,-104.03671,776,1
-19.606853,-130.61725,777,1
-49.71773,-104.037025,778,1
-19.606853,-130.61725,779,1
-45.656055,-105.21505,780,1
-10.115411,-130.38979,781,1
-19.414574,-127.312386,782,1
-19.96035,-146.92828,783,1
-13.770867,-139.8106,784,1
-115.522865,-13.274726,785,3
-97.80414,0.60940546,786,3
-49.351078,-75.13805,787,1
98.48554,85.592255,788,0
-50.02979,16.968815,789,3
-47.34044,7.878601,790,3
98.51925,85.568985,791,0
-100.05303,-7.343931,792,3
-78.52487,30.338583,793,3
-103.78913,-22.683996,794,3
-108.26609,-2.075437,795,3
-76.53051,67.246315,796,2
-107.33802,90.505806,797,2
-77.88212,68.134834,798,2
-49.63582,-104.04487,799,1
-19.286476,-130.38704,800,1
-147.32843,-33.11115,801,3
-104.607475,106.40885,802,2
-104.610596,106.41178,803,2
-103.70128,0.575521,804,3
-118.07223,14.59144,805,3
-103.46033,1.1107892,806,3
-81.424255,26.261621,807,3
-81.43261,26.215261,808,3
-81.4346,26.203533,809,3
-81.43998,26.18575,810,3
-81.43998,26.18575,811,3
-81.43998,26.18575,812,3
-81.43998,26.18575,813,3
-83.7528,28.561035,814,3
-104.610596,106.41178,815,2
-147.32843,-33.11115,816,3
-104.610596,106.41178,817,2
-102.594124,3.7668433,818,3
-50.191982,-73.82423,819,1
-104.607475,106.40885,820,2
-147.32693,-33.110867,821,3
-118.0704,14.591973,822,3
-107.41929,106.79842,823,2
-104.610596,106.41178,824,2
-103.45977,1.1107556,825,3
-104.610596,106.41178,826,2
-100.36406,4.5503607,827,3
-104.610596,106.41178,828,2
-147.32881,-33.110466,829,3
-118.0704,14.591973,830,3
-147.32892,-33.110615,831,3
-104.610596,106.41178,832,2
-103.95867,-0.87637943,833,3
-103.96421,-0.8763213,834,3
-118.07271,14.591446,835,3
-147.32722,-33.110756,836,3
-100.350464,4.5482726,837,3
-100.350464,4.5482726,838,3
-77.556946,42.337563,839,2
42.393024,-88.89841,840,1
-114.06748,8.537585,841,3
-103.459526,1.1107835,842,3
-103.46074,1.1108112,843,3
-104.607475,106.40885,844,2
-147.32843,-33.11115,845,3
-104.610596,106.41178,846,2
-107.41929,106.79842,847,2
-118.0704,14.591973,848,3
-146.01985,-34.095444,849,3
-118.07189,14.591973,850,3
-118.07189,14.591973,851,3
-118.07189,14.591973,852,3
-118.07189,14.591973,853,3
-147.32843,-33.11115,854,3
-77.556946,42.337563,855,2
42.393112,-88.899086,856,1
-77.556946,42.337563,857,2
42.393112,-88.899086,858,1
-147.31897,-33.11144,859,3
-118.07223,14.59144,860,3
-104.610596,106.41178,861,2
-103.69944,0.57546616,862,3
-103.69906,0.5753528,863,3
-142.8401,-38.09017,864,3
-146.01985,-34.095444,865,3
-147.32622,-33.1095,866,3
-104.610596,106.41178,867,2
-104.607475,106.40885,868,2
-104.607475,106.40885,869,2
-104.610596,106.41178,870,2
-104.607475,106.40885,871,2
-147.32722,-33.110756,872,3
-102.58686,3.7668395,873,3
-50.192154,-73.82356,874,1
-102.594124,3.7668433,875,3
-50.190178,-73.82362,876,1
-146.01985,-34.095444,877,3
-118.0704,14.591973,878,3
-114.20548,8.503262,879,3
-147.31897,-33.11144,880,3
-100.36406,4.5503607,881,3
-118.0704,14.591973,882,3
-81.488174,26.277817,883,3
-81.500916,26.314762,884,3
-77.96692,42.22509,885,2
42.555256,-89.273964,886,1
-74.5134,35.849968,887,2
-74.511024,35.84974,888,2
-77.96661,42.224464,889,2
42.555256,-89.273964,890,1
-117.20525,112.632706,891,2
-74.511024,35.84974,892,2
-74.516556,35.84918,893,2
-77.96692,42.22509,894,2
42.555256,-89.273964,895,1
-74.511024,35.84974,896,2
-74.5134,35.849968,897,2
-121.60221,91.754326,898,2
-74.5134,35.849968,899,2
-74.5134,35.849968,900,2
-74.511024,35.84974,901,2
-77.96692,42.22509,902,2
42.555256,-89.273964,903,1
-77.96692,42.22509,904,2
42.555256,-89.273964,905,1
-77.96692,42.22509,906,2
42.555256,-89.273964,907,1
